Parcel_Id,Address,YearBuilt,LivingArea,LandSQFT
W29MU7581,459 Aliquam Road,2007,2891,30598
S64GI7738,784 Rose Avenue,1959,4298,25765
K89KV4863,5341 Porttitor St.,1961,3618,28207
Q52JT7514,1230 Magna Ave,2007,2124,13375
A39EA7560,4594 Nonummy Road,1981,1683,24157
V25HQ0513,6259 Class Road,2004,2733,9811
M81SE0853,7972 Rutrum Road,2003,3775,10116
F47JY4077,12802 Seashore Av.,1952,3765,32401
U58BX6874,3907 Allen Avenue,2004,3200,31792
N43JY5958,5703 Metus Ave,2010,3443,34212
Y49IM4670,4873 Hendrerit St.,1989,1510,22460
N18AF8472,4645 Gravida Blvd.,1994,2564,27668
K96LF7279,3631 Amet Rd.,1965,2639,21878
I57UF2957,7807 Vivamus Rd.,1969,2943,13685
N54UV6765,9780 Vitae Road,2013,3554,33224
D37LA7488,2480 Urna St.,1982,1704,18016
F48UO4632,6724 Primis Rd.,1982,2988,22250
Y09CT8886,7001 Taciti Ave,1994,2957,33330
K07IP9486,3906 Donec Rd.,1961,3153,12491
J73VD8024,9037 Auctor Rd.,1998,2282,33800
